platform,sku,title,brand,category,current_price,original_price,discount,rating,reviews_count,availability,seller,noon_express,main_image,all_images,product_url,scraped_at
noon,N70097826V,"Washing Machine 8 KG Front Loading , WiFi Haismart Direct Motion inverter Motor 525 mm Super Drum Steam - HW80-B14959S6TU1 silver",Haier,Bedding & Bath,18999 EGP,21990 EGP,14%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N70097826V/45/_/1758538076/43feb4c4-b612-492b-b2f9-23f94bb5694f.jpg,https://f.nooncdn.com/p/pnsku/N70097826V/45/_/1758538076/43feb4c4-b612-492b-b2f9-23f94bb5694f.jpg,https://www.noon.com/egypt-en/washing-machine-8-kg-front-loading-wifi-haismart-direct-motion-inverter-motor-525-mm-super-drum-steam-hw80-b14959s6tu1-silver/p/?o=N70097826V,2026-03-27T18:48:00.427554
noon,Z85D799CC0D1B0B89E3A2Z,Easy Cook 11 Piece  Granite Cookware Set - Black,,Bedding & Bath,5500 EGP,5899 EGP,7%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z85D799CC0D1B0B89E3A2Z/45/1767807812/b1326cd0-ac2d-4250-b83c-718fe17b84ef.jpg,https://f.nooncdn.com/p/pzsku/Z85D799CC0D1B0B89E3A2Z/45/1767807812/b1326cd0-ac2d-4250-b83c-718fe17b84ef.jpg,https://www.noon.com/egypt-en/easy-cook-11-piece-granite-cookware-set-black/p/?o=Z85D799CC0D1B0B89E3A2Z,2026-03-27T18:48:00.427575
noon,N70097331V,"Washing Machine  9 KG Front Loading ,WiFi Haismart Direct Motion inverter Motor 525mm Super Drum Steam - HW90-B14959S8TU1 Dark Silver",Haier,Bedding & Bath,20999 EGP,24499 EGP,14%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N70097331V/45/_/1757592819/4d9dbf5d-9faf-4c6e-91c1-2b676d9224ad.jpg,https://f.nooncdn.com/p/pnsku/N70097331V/45/_/1757592819/4d9dbf5d-9faf-4c6e-91c1-2b676d9224ad.jpg,https://www.noon.com/egypt-en/washing-machine-9-kg-front-loading-wifi-haismart-direct-motion-inverter-motor-525mm-super-drum-steam-hw90-b14959s8tu1-dark-silver/p/?o=N70097331V,2026-03-27T18:48:00.427581
noon,N14737059A,Exfoliating Scrub Gloves Multicolour,Soap & Glory,Bedding & Bath,,74.2 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N14737059A/45/_/1767607834/1f502271-3cd5-4723-b292-8a10ca734ba0.jpg,https://f.nooncdn.com/p/pnsku/N14737059A/45/_/1767607834/1f502271-3cd5-4723-b292-8a10ca734ba0.jpg,https://www.noon.com/egypt-en/exfoliating-scrub-gloves-multicolour/p/?o=N14737059A,2026-03-27T18:48:00.427598
noon,N52490753A,"Essential Xl Electric Fryer Hd927090 6.2 L 2000 W Hd927090 , HD9270/91 Black",Philips,Bedding & Bath,,9099 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/v1643400958/N52490753A_1.jpg,https://f.nooncdn.com/p/v1643400958/N52490753A_1.jpg,https://www.noon.com/egypt-en/essential-xl-electric-fryer-hd927090-6-2-l-2000-w-hd927090-hd9270-91-black/p/?o=N52490753A,2026-03-27T18:48:00.427602
noon,Z2A6232F4BA95E25F9678Z,"cast iron round ribbed - Seasoned - grill pan with handle,Black,28 cm,156",ALMA,Bedding & Bath,1426 EGP,2037.14 EGP,30%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z2A6232F4BA95E25F9678Z/45/1767807900/b3ac7a99-101c-4068-9cd4-3539b2a5cdb3.jpg,https://f.nooncdn.com/p/pzsku/Z2A6232F4BA95E25F9678Z/45/1767807900/b3ac7a99-101c-4068-9cd4-3539b2a5cdb3.jpg,https://www.noon.com/egypt-en/cast-iron-round-ribbed-seasoned-grill-pan-with-handle-black-28-cm-156/p/?o=Z2A6232F4BA95E25F9678Z,2026-03-27T18:48:00.427608
noon,Z201DC8A00ECC469D39EEZ,"13 Piece Stainless Steel Classic Cooking Set 4 Stewpots 18,20,24,28  Frypan 24  Sauce Pan 16  Milk Pot 14 cm",Zahran,Bedding & Bath,7771.94 EGP,8999 EGP,14%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z201DC8A00ECC469D39EEZ/45/_/1700308682/8c588f3d-a70f-480c-b407-3d054f40c0a4.jpg,https://f.nooncdn.com/p/pzsku/Z201DC8A00ECC469D39EEZ/45/_/1700308682/8c588f3d-a70f-480c-b407-3d054f40c0a4.jpg,https://www.noon.com/egypt-en/13-piece-stainless-steel-classic-cooking-set-4-stewpots-18-20-24-28-frypan-24-sauce-pan-16-milk-pot-14-cm/p/?o=Z201DC8A00ECC469D39EEZ,2026-03-27T18:48:00.427613
noon,ZA6CEB4AFC033B88CA71DZ,"Stainless Steel Classic Stewpot Set - 18,22,26,32",Zahran,Bedding & Bath,,6568.34 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZA6CEB4AFC033B88CA71DZ/45/_/1696338141/1e777999-f297-4ec7-ac3a-2da58254ce43.jpg,https://f.nooncdn.com/p/pzsku/ZA6CEB4AFC033B88CA71DZ/45/_/1696338141/1e777999-f297-4ec7-ac3a-2da58254ce43.jpg,https://www.noon.com/egypt-en/stainless-steel-classic-stewpot-set-18-22-26-32/p/?o=ZA6CEB4AFC033B88CA71DZ,2026-03-27T18:48:00.427628
noon,ZE0798D1D142CCF1410FFZ,"Meat Grinder and Garlic Peeler 40544 , 1.5 Liter, 6 Blades - Black White 700 Watt",Touch,Bedding & Bath,,1129 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZE0798D1D142CCF1410FFZ/45/1762465247/03f3b0e4-eaed-43b8-a8a6-b4957d21603b.jpg,https://f.nooncdn.com/p/pzsku/ZE0798D1D142CCF1410FFZ/45/1762465247/03f3b0e4-eaed-43b8-a8a6-b4957d21603b.jpg,https://www.noon.com/egypt-en/meat-grinder-and-garlic-peeler-40544-1-5-liter-6-blades-black-white-700-watt/p/?o=ZE0798D1D142CCF1410FFZ,2026-03-27T18:48:00.427633
noon,N43634556A,Turbo Smart Spin Microfiber Mop and Bucket Set Grey/Red,Vileda,Bedding & Bath,1699 EGP,2685 EGP,37%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N43634556A/45/_/1725180843/21d23a69-9d89-45c1-b1b7-95d59504777a.jpg,https://f.nooncdn.com/p/pnsku/N43634556A/45/_/1725180843/21d23a69-9d89-45c1-b1b7-95d59504777a.jpg,https://www.noon.com/egypt-en/turbo-smart-spin-microfiber-mop-and-bucket-set-grey-red/p/?o=N43634556A,2026-03-27T18:48:00.427638
