platform,sku,title,brand,category,current_price,original_price,discount,rating,reviews_count,availability,seller,noon_express,main_image,all_images,product_url,scraped_at
noon,N70127133V,"Microsoft Surface Laptop GO 12.4"" 10th Gen Ci5-16G-256GB - Win 10Â ProÂ -Â Platinum English Silver",,Laptops,,24444 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N70127133V/45/_/1764242398/7df8a938-7d87-401b-baa9-45b164456efc.jpg,https://f.nooncdn.com/p/pnsku/N70127133V/45/_/1764242398/7df8a938-7d87-401b-baa9-45b164456efc.jpg,https://www.noon.com/egypt-en/microsoft-surface-laptop-go-12-4-10th-gen-ci5-16g-256gb-win-10-pro-platinum-english-silver/p/?o=N70127133V,2026-03-27T18:42:51.439925
noon,ZFA18F029D7D896577F7FZ,"Magnetic Phone Cooling Fan A03 , Silent, Lightweight, LED Easy to Install, Ensures Instant and Constant Cooling Keeps Your Device Performing at Peak Efficiency Without Stuttering or Stuttering, Semiconductor Cooling Technology, 3 Different Speeds, Perfect for Daily Use or Travel.",DS,Laptops,635 EGP,850 EGP,25%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZFA18F029D7D896577F7FZ/45/1750341923/0e3e8a9b-19e7-40fa-9229-af57f522b027.jpg,https://f.nooncdn.com/p/pzsku/ZFA18F029D7D896577F7FZ/45/1750341923/0e3e8a9b-19e7-40fa-9229-af57f522b027.jpg,https://www.noon.com/egypt-en/magnetic-phone-cooling-fan-a03-silent-lightweight-led-easy-to-install-ensures-instant-and-constant-cooling-keeps-your-device-performing-at-peak-efficiency-without-stuttering-or-stuttering-semiconductor-cooling-technology-3-different-speeds-perfect-fo/p/?o=ZFA18F029D7D896577F7FZ,2026-03-27T18:42:51.439949
noon,ZFDD90592443E4C275ADBZ,6-In-1 USB-C Hub Type C To 4K HDMI USB3.0 DP Adapter Docking Station Converter,,Laptops,588 EGP,799 EGP,26%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZFDD90592443E4C275ADBZ/45/_/1738249260/d68849cc-aaf0-4378-ba17-f8bd8a247b46.jpg,https://f.nooncdn.com/p/pzsku/ZFDD90592443E4C275ADBZ/45/_/1738249260/d68849cc-aaf0-4378-ba17-f8bd8a247b46.jpg,https://www.noon.com/egypt-en/6-in-1-usb-c-hub-type-c-to-4k-hdmi-usb3-0-dp-adapter-docking-station-converter/p/?o=ZFDD90592443E4C275ADBZ,2026-03-27T18:42:51.439955
noon,N11411335A,"300Mbps Wi-Fi Range Extender, 2.4GHz Frequency, Up to 300Mbps Signal Rate, 2x Internal Antennas, 1x Ethernet Port (RJ45), WA850RE White",TP-LINK,Laptops,899 EGP,903 EGP,0%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N11411335A/45/_/1764236041/75dd26aa-d0e7-402f-97f1-4a52de34331a.jpg,https://f.nooncdn.com/p/pnsku/N11411335A/45/_/1764236041/75dd26aa-d0e7-402f-97f1-4a52de34331a.jpg,https://www.noon.com/egypt-en/300mbps-wi-fi-range-extender-2-4ghz-frequency-up-to-300mbps-signal-rate-2x-internal-antennas-1x-ethernet-port-rj45-wa850re-white/p/?o=N11411335A,2026-03-27T18:42:51.439960
noon,N70006744V,Wireless Computer Mouse Rechargeable Slim Silent - Multicolour,HP,Laptops,119 EGP,529 EGP,78%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N70006744V/45/_/1728988633/39e8b47c-c7fe-4b87-a908-0ceb8e2978eb.jpg,https://f.nooncdn.com/p/pnsku/N70006744V/45/_/1728988633/39e8b47c-c7fe-4b87-a908-0ceb8e2978eb.jpg,https://www.noon.com/egypt-en/wireless-computer-mouse-rechargeable-slim-silent-multicolour/p/?o=N70006744V,2026-03-27T18:42:51.439965
noon,Z8CC3F46D576132AFEC3FZ,P4 15.6 inch Portable Screen,V2COM,Laptops,7499 EGP,8200 EGP,9%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z8CC3F46D576132AFEC3FZ/45/1767807941/d3b497f9-c9e8-482d-b45e-51d5b09589d5.jpg,https://f.nooncdn.com/p/pzsku/Z8CC3F46D576132AFEC3FZ/45/1767807941/d3b497f9-c9e8-482d-b45e-51d5b09589d5.jpg,https://www.noon.com/egypt-en/p4-15-6-inch-portable-screen/p/?o=Z8CC3F46D576132AFEC3FZ,2026-03-27T18:42:51.439969
noon,Z9A114DF757CF68570C63Z,"SY-G25 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller,Noise Cancelling Over Ear Headphones with Mic, LED Breathing Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo",,Laptops,499 EGP,999 EGP,50%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z9A114DF757CF68570C63Z/45/1756736528/9652d490-8cd2-4013-a375-293fd2a35ffb.jpg,https://f.nooncdn.com/p/pzsku/Z9A114DF757CF68570C63Z/45/1756736528/9652d490-8cd2-4013-a375-293fd2a35ffb.jpg,https://www.noon.com/egypt-en/sy-g25-stereo-gaming-headset-for-ps4-pc-xbox-one-ps5-controller-noise-cancelling-over-ear-headphones-with-mic-led-breathing-light-bass-surround-soft-memory-earmuffs-for-laptop-mac-nintendo/p/?o=Z9A114DF757CF68570C63Z,2026-03-27T18:42:51.439975
noon,N70045731V,Baseus UltraJoy Series 5-Port HUB Docking Station Space Greyï¼Type-C to HDMI4K@30Hz*1+USB 3.0*3+PD*1ï¼ Grey,,Laptops,749 EGP,1499 EGP,50%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N70045731V/45/_/1707724864/0e7ed22e-ee32-46a6-9c5e-7bebe67a892b.jpg,https://f.nooncdn.com/p/pnsku/N70045731V/45/_/1707724864/0e7ed22e-ee32-46a6-9c5e-7bebe67a892b.jpg,https://www.noon.com/egypt-en/baseus-ultrajoy-series-5-port-hub-docking-station-space-grey-type-c-to-hdmi4k-30hz-1-usb-3-0-3-pd-1-grey/p/?o=N70045731V,2026-03-27T18:42:51.439987
noon,N41964615A,"MacBook Air  MGN63 With 13 Inch Display,  M1 Chip 8-Core CPU and 7-Core GPU | 8GB RAM | 256GB SSD | macOS | English/Arabic Space Grey",Apple,Laptops,35499.95 EGP,52498.75 EGP,32%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N41964615A/45/_/1768825891/2fa999f6-d509-4599-beeb-0d1350dfba22.jpg,https://f.nooncdn.com/p/pnsku/N41964615A/45/_/1768825891/2fa999f6-d509-4599-beeb-0d1350dfba22.jpg,https://www.noon.com/egypt-en/macbook-air-mgn63-with-13-inch-display-m1-chip-8-core-cpu-and-7-core-gpu-8gb-ram-256gb-ssd-macos-english-arabic-space-grey/p/?o=N41964615A,2026-03-27T18:42:51.440002
noon,N30712615A,Micro SDC10 Card 128GB With SD Adapter,Kingston,Laptops,419.95 EGP,429 EGP,2%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZC6EA02A5FA6A5F80B6F7Z/45/1762769290/a111e112-c6d6-4323-afad-afffebbaddb3.jpg,https://f.nooncdn.com/p/pzsku/ZC6EA02A5FA6A5F80B6F7Z/45/1762769290/a111e112-c6d6-4323-afad-afffebbaddb3.jpg,https://www.noon.com/egypt-en/micro-sdc10-card-128gb-with-sd-adapter/p/?o=N30712615A,2026-03-27T18:42:51.440007
